,Tiktoker name,Tiktok name,Subscribers,Views avg.,Likes avg.,Comments avg.,Shares avg.
94,hola.margo,margo✨,4099999.9999999995,6700000.0,868100.0,2400.0,1200.0
95,dhar.mann,Dhar Mann,14300000.0,4200000.0,528100.0,6900.0,2400.0
96,mementoe,Máté Méhész,3600000.0,3400000.0,588500.0,4400.0,5800.0
97,kaelimaee,kaeli mae,10600000.0,5500000.0,733800.0,1500.0,3500.0
98,paralympics,paralympics,2500000.0,5400000.0,467800.0,1800.0,6300.0
99,ynchq,Янчик,6400000.0,4900000.0,660100.0,2700.0,3500.0
100,connordewolfe,Connor DeWolfe,5400000.0,3000000.0,628400.0,1600.0,9000.0
101,awildani13,NgebisOnline,77200.0,3700000.0,498400.0,5900.0,4400.0
102,paansih16,gustian_magrib,1100000.0,2900000.0,230500.0,1200.0,27700.0
103,otoha_danso,音羽-otoha-,1500000.0,3400000.0,268000.0,9500.0,11200.0
104,ivanlomelitv,Iván Lomeli Travel Blogger,44000.0,2400000.0,188100.0,1200.0,39600.0
105,davidguetta,David Guetta,4500000.0,4400000.0,419900.0,4100.0,5900.0
106,quynh.aka,Quỳnh Aka ✅,1900000.0,4700000.0,333200.0,4400.0,7300.0
107,gianlucavacchi,Gianluca Vacchi,21500000.0,7700000.0,477100.0,2000.0,2800.0
108,ashhasacamera,ash,871700.0,3400000.0,854700.0,4100.0,2000.0
109,abdelrhman_boda1,💎☝️ عہبدالہرحہمن_احہمد☝️💎,2800000.0,8100000.0,337400.0,1300.0,5100.0
110,garett__nolan,garett nolan,13400000.0,4200000.0,337100.0,2400.0,10000.0
111,sturniolo.triplets,Sturniolo’s,4000000.0,2800000.0,654200.0,7600.0,2000.0
112,juliano,juliano,9900000.0,6800000.0,625200.0,3000.0,1000.0
113,jwaltonnn,ᴊ⚡️,733400.0,1600000.0,350900.0,27000.0,2500.0
114,zodiac.boyfriend,Zodiac Boyfriend🪐🔮,2100000.0,2700000.0,444700.0,5200.0,8500.0
115,faeleamendoim,Fael Alegria e Isaac Amendoim,3600000.0,5500000.0,321600.0,1300.0,7900.0
116,thallyssonsb,Thallysson Borges,10700000.0,3000000.0,450100.0,3800.0,8100.0
117,saramohannad_,Sara,7900000.0,4500000.0,364900.0,6300.0,3100.0
118,miakhalifa,Mia K.,35700000.0,5400000.0,610300.0,2500.0,2200.0
119,qamar_altaey,𝑄𝐴𝑀𝐴𝑅,3800000.0,3000000.0,298100.0,7000.0,9900.0
